draw_seq,date,year,month,day,prize_1,prize_2,prize_3,special_1,special_2,special_3,special_4,special_5,special_6,special_7,special_8,special_9,special_10,consol_1,consol_2,consol_3,consol_4,consol_5,consol_6,consol_7,consol_8,consol_9,consol_10
507,1992-12-24,1992,12,24,9811,1705,9379,8943,1297,7570,8391,8997,4655,8999,8320,9862,6947,,,,,,,,,,
508,1992-12-27,1992,12,27,1138,9385,3115,1438,2409,2885,2519,6152,4821,6911,1230,4346,8028,,,,,,,,,,
509,1992-12-30,1992,12,30,8716,6227,6441,2892,2350,3117,9211,32,3937,933,8680,6520,9098,,,,,,,,,,
510,1992-12-31,1992,12,31,3859,3882,584,1724,5314,5801,4948,6017,8761,3438,9593,7317,7600,,,,,,,,,,
511,1993-01-03,1993,1,3,1856,7621,5066,504,1920,3087,2532,7162,2060,2663,7145,3122,4865,,,,,,,,,,
512,1993-01-06,1993,1,6,9482,3927,1682,7365,4686,4165,728,4306,5981,4328,8930,2327,2853,,,,,,,,,,
513,1993-01-07,1993,1,7,372,1258,3861,7106,3904,5950,9799,5519,9076,588,1047,4796,4188,,,,,,,,,,
514,1993-01-10,1993,1,10,361,1553,8701,5801,8888,8660,4222,5220,6868,3777,8355,6874,8778,,,,,,,,,,
515,1993-01-13,1993,1,13,9846,4487,4848,246,3958,7409,7034,6833,51,3411,6648,3744,3582,,,,,,,,,,
516,1993-01-14,1993,1,14,5025,9339,8132,8918,7360,2835,3943,8544,5597,100,6175,1543,9381,,,,,,,,,,
517,1993-01-17,1993,1,17,6966,5803,3928,3819,6305,9064,5155,8921,8998,6065,4476,906,9978,,,,,,,,,,
518,1993-01-20,1993,1,20,3175,2392,220,4085,1144,8969,9437,3436,5241,8687,9955,9419,1150,,,,,,,,,,
519,1993-01-21,1993,1,21,6318,3108,5239,7371,1443,1749,7434,3309,1277,7817,6599,4074,7312,,,,,,,,,,
520,1993-01-24,1993,1,24,368,4142,7780,6921,4388,8397,5334,7537,4800,456,4575,8585,1892,,,,,,,,,,
521,1993-01-27,1993,1,27,9915,3326,1970,4967,3041,8427,1501,7192,746,699,3773,4758,3525,,,,,,,,,,
522,1993-01-28,1993,1,28,3984,86,3794,5782,1751,7690,2886,4362,7890,5061,6125,5046,3267,,,,,,,,,,
523,1993-01-31,1993,1,31,3360,61,3871,7369,5597,3325,534,8838,9606,7395,6762,1199,2411,,,,,,,,,,
524,1993-02-03,1993,2,3,8177,3560,9605,8161,8113,3873,5998,6672,2493,1629,6413,7519,7282,,,,,,,,,,
525,1993-02-04,1993,2,4,6294,7024,8973,4150,8665,4284,9259,8376,696,2977,379,688,8880,,,,,,,,,,
526,1993-02-07,1993,2,7,3840,2667,292,8262,8329,1171,808,4168,9527,6818,2940,642,7059,,,,,,,,,,
527,1993-02-10,1993,2,10,4751,6088,9598,2688,8767,7998,4037,8427,2219,5118,5624,7684,1989,,,,,,,,,,
528,1993-02-11,1993,2,11,9460,9046,5193,1978,3913,4308,1481,9396,9211,8739,9763,4318,9935,,,,,,,,,,
529,1993-02-14,1993,2,14,4814,6816,1842,4919,4800,1209,1150,3473,1658,5971,4189,8905,9168,,,,,,,,,,
530,1993-02-17,1993,2,17,8519,9164,1078,6912,1994,8750,8032,5911,412,5411,8442,9643,8607,,,,,,,,,,
531,1993-02-18,1993,2,18,8093,6154,3844,1652,5713,1754,231,6173,6760,821,2227,406,5531,,,,,,,,,,
532,1993-02-21,1993,2,21,5632,2091,207,5730,2618,833,7537,7287,8488,5470,1582,1045,9865,,,,,,,,,,
533,1993-02-24,1993,2,24,1709,8096,7273,7752,3726,4405,9508,8471,7967,2202,9449,8003,9615,,,,,,,,,,
534,1993-02-25,1993,2,25,4506,5836,5441,2809,9288,6469,5603,3720,9059,7704,9479,9302,256,,,,,,,,,,
535,1993-02-28,1993,2,28,6123,4651,5731,5777,9834,8013,8384,7348,162,5808,5839,5415,6133,,,,,,,,,,
536,1993-03-03,1993,3,3,1821,4348,9582,7366,4277,5502,8906,6433,9269,3480,6412,5706,2372,,,,,,,,,,
